"electrical_capacity","energy_source_level_1","energy_source_level_2","energy_source_level_3","technology","data_source","nuts_1_region","nuts_2_region","nuts_3_region","lon","lat","municipality","municipality_code","postcode","address","federal_state","commissioning_date","decommissioning_date","voltage_level","eeg_id","dso","dso_id","tso"
0.08,"Renewable energy","Bioenergy","Sewage and landfill gas","Sewage and landfill gas","TransnetBW","DE1","DE13","DE135",8.578018405,48.29242877,"Oberndorf",8325045,78727,NA,"Baden-Württemberg","1900-01-02",NA,"medium voltage",NA,"Netze BW GmbH",10000843,"TransnetBW"
0.015,"Renewable energy","Hydro","","Run-of-river","TenneT","DE2","DE25","DE25C",10.88156233,48.96399433,"",9577173,91757,NA,"Brandenburg","1901-01-01",NA,"low voltage",NA,"Stadtwerke Treuchtlingen",10001282,"TenneT"
0.055,"Renewable energy","Hydro","","Run-of-river","TransnetBW","DE1","DE14","DE148",9.664272955,47.84613128,"Baienfurt",8436011,88255,NA,"Baden-Württemberg","1901-01-01",NA,"low voltage / medium voltage",NA,"Netze BW GmbH",10000843,"TransnetBW"
0.12,"Renewable energy","Hydro","","Run-of-river","TransnetBW","DE1","DE14","DE148",9.664272955,47.84613128,"Baienfurt",8436011,88255,NA,"Baden-Württemberg","1901-01-01",NA,"low voltage",NA,"Netze BW GmbH",10000843,"TransnetBW"
0.044,"Renewable energy","Hydro","","Run-of-river","TransnetBW","DE1","DE12","DE128",8.775570795,49.35553908,"Bammental",8125005,69245,NA,"Baden-Württemberg","1901-07-01",NA,"low voltage",NA,"Syna GmbH",10001495,"TransnetBW"
0.08,"Renewable energy","Hydro","","Run-of-river","TransnetBW","DE1","DE12","DE128",8.775570795,49.35553908,"Bammental",8125005,69245,NA,"Baden-Württemberg","1901-11-01",NA,"low voltage",NA,"Syna GmbH",10001495,"TransnetBW"
0.05,"Renewable energy","Hydro","","Run-of-river","TransnetBW","DE1","DE11","DE11A",9.853297113,49.16269351,"Unterscheffach",8127099,74549,NA,"Baden-Württemberg","1904-01-01",NA,"low voltage",NA,"Elektrizitätswerk Ley",10000358,"TransnetBW"
0.0075,"Renewable energy","Hydro","","Run-of-river","50Hertz","DED","DED2","DED2E",13.44652411,51.09284122,"",14627020,1665,NA,"Sachsen","1905-01-01",NA,"low voltage",NA,"ENSO NETZ GmbH",10001874,"50Hertz"
0.055,"Renewable energy","Hydro","","Run-of-river","Amprion","DEA","DEA2","DEA24",7.040958034,51.07514643,"Leverkusen",5316000,51381,NA,"Nordrhein-Westfalen","1905-01-01",NA,"low voltage",NA,"Rheinische NETZGesellschaft mbH",10001817,"Amprion"
0.7,"Renewable energy","Hydro","","Run-of-river","Amprion","DEA","DEA2","DEA2A",7.430415864,50.98411445,"Engelskirchen",5374008,51766,NA,"Nordrhein-Westfalen","1905-04-10",NA,"medium voltage",NA,"Rheinische NETZGesellschaft mbH",10001817,"Amprion"
1.2,"Renewable energy","Hydro","","Run-of-river","Amprion","DEA","DEA2","DEA2A",7.430415864,50.98411445,"Engelskirchen",5374008,51766,NA,"Nordrhein-Westfalen","1905-04-15",NA,"medium voltage",NA,"Rheinische NETZGesellschaft mbH",10001817,"Amprion"
0.8,"Renewable energy","Hydro","","Run-of-river","Amprion","DEA","DEA2","DEA2A",7.430415864,50.98411445,"Engelskirchen",5374008,51766,NA,"Nordrhein-Westfalen","1905-04-16",NA,"medium voltage",NA,"Rheinische NETZGesellschaft mbH",10001817,"Amprion"
0.04,"Renewable energy","Hydro","","Run-of-river","TransnetBW","DE1","DE14","DE144",9.979264573,48.43354223,"Ulm",8421000,89081,NA,"Baden-Württemberg","1905-04-19",NA,"medium voltage",NA,"Stadtwerke Ulm/Neu-Ulm Netze GmbH",10001254,"TransnetBW"
0.4,"Renewable energy","Hydro","","Run-of-river","Amprion","DEA","DEA2","DEA2A",7.430415864,50.98411445,"Engelskirchen",5374008,51766,NA,"Nordrhein-Westfalen","1905-04-22",NA,"medium voltage",NA,"Rheinische NETZGesellschaft mbH",10001817,"Amprion"
0.055,"Renewable energy","Hydro","","Run-of-river","Amprion","DE2","DE27","DE272",10.62483932,47.88362047,"Kaufbeuren",9762000,87600,NA,"Bayern","1905-05-04",NA,"low voltage",NA,"Vereinigte Wertach-Elektrizitätswerke GmbH",10000140,"Amprion"
0.56,"Renewable energy","Hydro","","Run-of-river","Amprion","DEA","DEA2","DEA2A",7.430415864,50.98411445,"Engelskirchen",5374008,51766,NA,"Nordrhein-Westfalen","1905-05-08",NA,"medium voltage",NA,"Rheinische NETZGesellschaft mbH",10001817,"Amprion"
0.09,"Renewable energy","Hydro","","Run-of-river","TransnetBW","DE2","DE26","DE26C",9.95438309,49.51209447,"Röttingen / Röttingen",9679182,97285,NA,"Bayern","1905-06-26",NA,"low voltage",NA,"Versorgungsbetriebe Röttingen",10001075,"TransnetBW"
